tgt,a,lk,__lnsigma,k
M1M2M3M4M5,3.9370427138113966,2.943540967569393,-1.0214866219450558,878.0939149431605
M1M2M3M4X,3.3104950330007394,2.934252211640181,-1.0509813834363342,859.5125288376665
M1M2M3XX,2.88313844953208,2.897794145535461,-1.152564404468404,790.3039371772753
M1M2XXX,1.9516407729444425,2.711170794352976,-1.2638378899543814,514.2458485304629
M1X(1)M2XX,1.669329186496618,2.544256508880125,-2.702115907954195,350.1519174262724
M1X(10)M2XX,1.651342111517722,2.576314547720644,-2.10930559488001,376.97673416189286
M1X(11)M2XX,1.6071762973893329,2.5733010704388777,-2.319088822811885,374.3700267263905
M1X(2)M2XX,1.742546177442038,2.5581028450721663,-2.975868723811228,361.4954580738506
M1X(3)M2XX,1.2380987688952023,2.5144108768943765,-2.4920537125137656,326.8969562707976
M1X(4)M2XX,1.5240511048488048,2.4868677461457755,-2.663692888151165,306.80875344483354
M1X(5)M2XX,1.5438733637821995,2.498627358108476,-2.4329370564045645,315.2298665341933
M1X(6)M2XX,1.361780567523614,2.4869996470861446,-2.7285044367126776,306.9019494461377
M1X(7)M2XX,1.4735025795434298,2.498323007081872,-2.495783493006645,315.00903268052446
M1X(8)M2XX,1.8552959679901249,2.487248069659924,-2.51852064113704,307.0775519119437
M1X(9)M2XX,1.5946461358890045,2.50952442940559,-2.779817743209842,323.2395023040227
M1XM2XX,1.6722276262153315,2.575102145746339,-2.412297940389818,375.9258113688694
M1XM3XM5,2.6550158821781222,2.6946195472265613,-1.09955700132321,495.01635416210377
M1XXM2X,1.792270282227241,2.5369119126251283,-2.486873329068195,344.2800938054196
M1XXXM2,1.6367688657479804,2.546831072384444,-2.4556043048466187,352.23383592401734
M1XXXX,1.0558305471344245,2.6827280785292986,-2.103611796675466,481.6461337986801
M2XXXX,1.038724772073683,2.7273143663545056,-1.6609192265936836,533.7210925271144
M3XXXX,0.8800073037820624,2.6478237494806782,-2.242380030472705,444.45085856361726
M5XXXX,1.1316979366938913,2.7150126329429694,-1.822648109157897,518.8151302250762
M6XXXX,0.7902898289970244,2.5461927929450585,-3.0631272807414067,351.7165406444812
NO-TEMPLATE,2.26379063189286,3.140715255963258,-1.5373675750308209,1382.659544622474
S1XXXX,0.8975009880784961,2.2138146876355798,-2.098606070527895,163.61182449170363
S2XXXX,1.013547063051937,1.9956602502507867,-1.6228677363794282,99.00571174935195
W1W2W3W4W5,1.8762509113743544,3.53197147023521,-2.6224523737681293,3403.8582826883267
W1W2W3W4X,3.350894232766565,3.7369288805017407,-2.426673167915079,5456.684958126973
W1W2W3XX,2.2967707704214684,3.9839693947312833,-2.3545717381230085,9637.611037950766
W1W2XXX,1.3327202477123925,3.9926417062303807,-3.2437655002981605,9831.99629517052
W1XW3XW5,1.9082555898058715,3.747851361715502,-2.89984693109526,5595.660559499219
XM2XM4X,1.7583083832827993,2.966672870847983,-2.025775062454575,926.131958436317
XM6XXX,0.8347746495659383,2.589518789441367,-2.8172595167641163,388.61431071199786
XW2XW4X,1.1145875847239854,3.518772008898312,-3.704488672357283,3301.961528139671
XXM6XX,0.7994378234780696,2.7153729820444656,-3.2192534962782178,519.2457876628122
XXXM6X,0.8201256902201584,2.613096509939669,-3.1415668292773624,410.2952696349569
XXXXM6,0.8901751218695503,2.625703962305836,-3.006842654366201,422.38059954120735
XXXXX,0.470411964561013,3.948190041411916,-3.2206557581497117,8875.443045014332
M4XXXX,1.0,3.283780360295273,-2.6771434822655933,1922.119392105957
W1XXXX,1.0,3.9978323669869793,-3.4292277213239077,9950.212756763389
W2XXXX,1.0,3.997323568284711,-2.9120199164898377,9938.562387892105
W3XXXX,1.0,3.734928082595442,-2.837323000885194,5431.6037888924375
W4XXXX,1.0,3.558576045822659,-2.5515497553237845,3618.8955276123506
W5XXXX,1.0,3.821482315007664,-3.3430324355008434,6629.523509059136
