tgt,params1,params2,params3,params4,Rsq,aic,bic,redchi
(17)A11(-1)A11(-1)A11(-1)A11(40),-17.676783630578125,-17.676783630578125,-17.676783630578125,-17.676783630578125,0.5460647797361742,-13.795692741811092,-13.795692741811092,0.5016841015802785
(17)A11(-1)A11(-1)A11(48),-17.676783630578125,-17.676783630578125,-17.676783630578125,,0.5056787912603953,-28.065030225596363,-28.065030225596363,0.27924012839664075
(17)A11(-1)A11(56),-17.676783630578125,-17.676783630578125,,,0.3699694514835753,-28.513897800684596,-28.513897800684596,0.2051312146022697
(17)A11(-3)A11(-3)A11(-3)A11(46),-17.676783630578125,-17.676783630578125,-17.676783630578125,-17.676783630578125,0.4021015456306217,-50.76595666963403,-50.76595666963403,0.2629092855548518
(17)A11(-3)A11(-3)A11(52),-17.676783630578125,-17.676783630578125,-17.676783630578125,,0.6503166838815495,-72.82674875673732,-72.82674875673732,0.1765819492800198
(17)A11(-3)A11(58),-17.676783630578125,-17.676783630578125,,,0.41509151938151256,-112.77068232404102,-112.77068232404102,0.06389562112590765
(17)A11(-3)A5(-3)A11(52),-17.676783630578125,-15.102972438007749,-17.676783630578125,,-1.8801582215139132,7.15309085159633,7.15309085159633,1.105997628045131
(17)A11(-3)A5(58),-17.676783630578125,-15.102972438007749,,,0.7634953071440841,-104.38759707750401,-104.38759707750401,0.024037781264758123
(17)A11(-3)M5(-3)A11(52),-17.676783630578125,-15.450164854632737,-17.676783630578125,,0.6681548177752514,-85.14738598014263,-85.14738598014263,0.1253349517166598
(17)A11(-3)M5(58),-17.676783630578125,-15.450164854632737,,,0.6353676612706374,-69.88687532857594,-69.88687532857594,0.03036867084035042
(17)A11(-3)W4(-3)A11(52),-17.676783630578125,-13.649439153675775,-17.676783630578125,,0.6811600086549428,-143.05133769182564,-143.05133769182564,0.09953164549665423
(17)A11(-3)W4(58),-17.676783630578125,-13.649439153675775,,,0.5676493844880962,-94.58684758903871,-94.58684758903871,0.01942647117282906
(17)A5(-1)A11(-1)A5(48),-15.102972438007749,-17.676783630578125,-15.102972438007749,,0.9082890436190016,-65.83445504262694,-65.83445504262694,0.03127390241050535
(17)A5(-3)A11(-3)A5(52),-15.102972438007749,-17.676783630578125,-15.102972438007749,,0.8253257484596097,-137.71411692828244,-137.71411692828244,0.04687298841070325
(17)A5(-3)M5(-3)A5(52),-15.102972438007749,-15.450164854632737,-15.102972438007749,,0.9575888447129721,-48.331683095999956,-48.331683095999956,0.06821481524906135
(17)M1(-1)M2(56),-15.852324960489497,-14.866862369354795,,,0.7951390266711563,-51.98144457141461,-51.98144457141461,0.06483786539574043
(17)M1(-3)M2(-3)M3(-3)M4(46),-15.852324960489497,-14.866862369354795,-16.17873398400404,-15.621744714068644,0.9223432557713316,-52.15718969466254,-52.15718969466254,0.1552440669798823
(17)M1(-3)M2(-3)M3(52),-15.852324960489497,-14.866862369354795,-16.17873398400404,,0.8137312129477914,-48.44103099786776,-48.44103099786776,0.1772778822383204
(17)M1(-3)M2(58),-15.852324960489497,-14.866862369354795,,,0.9118653559444642,-165.82401091075675,-165.82401091075675,0.03390599325717371
(17)M5(-1)A11(-1)M5(48),-15.450164854632737,-17.676783630578125,-15.450164854632737,,0.9385150997815511,-66.95936945820912,-66.95936945820912,0.024234816778864895
(17)M5(-1)M5(-1)M5(-1)M5(40),-15.450164854632737,-15.450164854632737,-15.450164854632737,-15.450164854632737,0.9353623570368678,-36.084302146461184,-36.084302146461184,0.1793708009262865
(17)M5(-1)M5(-1)M5(48),-15.450164854632737,-15.450164854632737,-15.450164854632737,,0.9435894728711256,-46.105954544064566,-46.105954544064566,0.1229810246623667
(17)M5(-1)M5(56),-15.450164854632737,-15.450164854632737,,,0.9538969955179906,-85.52605116239425,-85.52605116239425,0.013893939263786329
(17)M5(-3)A11(-3)M5(52),-15.450164854632737,-17.676783630578125,-15.450164854632737,,0.8744777213001106,-325.67300232556755,-325.67300232556755,0.014559384496172802
(17)M5(-3)A5(-3)M5(52),-15.450164854632737,-15.102972438007749,-15.450164854632737,,0.9369383361190888,-41.83763115256941,-41.83763115256941,0.09785065983712789
(17)M5(-3)M5(-3)M5(-3)M5(46),-15.450164854632737,-15.450164854632737,-15.450164854632737,-15.450164854632737,0.913054610528309,-71.80752716698491,-71.80752716698491,0.03273187007864548
(17)M5(-3)M5(-3)M5(52),-15.450164854632737,-15.450164854632737,-15.450164854632737,,0.9496684010715504,-87.40089083352863,-87.40089083352863,0.015577196724556678
(17)M5(-3)M5(58),-15.450164854632737,-15.450164854632737,,,0.738361801574938,-70.89085469070606,-70.89085469070606,0.034192293886072
(17)M5(-3)W4(-3)M5(52),-15.450164854632737,-13.649439153675775,-15.450164854632737,,0.9424249460214257,-66.98278104242132,-66.98278104242132,0.02420331641013236
(17)W4(-1)A11(-1)W4(48),-13.649439153675775,-17.676783630578125,-13.649439153675775,,0.746104574253568,-53.64570322748139,-53.64570322748139,0.050776742909434985
(17)W4(-3)A11(-3)W4(52),-13.649439153675775,-17.676783630578125,-13.649439153675775,,0.6959786494021181,-171.08961405237795,-171.08961405237795,0.022326266507128992
(17)W4(-3)M5(-3)W4(52),-13.649439153675775,-15.450164854632737,-13.649439153675775,,0.9453871320111402,-63.601273914206864,-63.601273914206864,0.035174444479030564
(17)W4(-3)W4(-3)W4(52),-13.649439153675775,-13.649439153675775,-13.649439153675775,,0.5013302122605461,-112.59214156646449,-112.59214156646449,0.08191709413000885
(17)W4(-3)W4(58),-13.649439153675775,-13.649439153675775,,,0.72472910341707,-113.83319822312188,-113.83319822312188,0.02249550110236276
(23)A5(-3)A11(52),-15.102972438007749,-17.676783630578125,,,0.8918617986186335,-116.80271165627123,-116.80271165627123,0.017815619396258385
(23)M5(-3)A11(52),-15.450164854632737,-17.676783630578125,,,0.8481942543496042,-119.04837545848332,-119.04837545848332,0.014239610940782185
(23)W4(-3)A11(52),-13.649439153675775,-17.676783630578125,,,0.8889974708230712,-131.68598602476771,-131.68598602476771,0.012406523357391496
