tgt,ptile,a,lk,lnsigma,__lnsigma
(17)A11(-1)A11(-1)A11(-1)A11(40),0,1.28630535,0.156498972,-1.850509,
(17)A11(-1)A11(-1)A11(-1)A11(40),1,1.686339139,1.014108485,-1.587219783,
(17)A11(-1)A11(-1)A11(-1)A11(40),2,1.724976284,1.059325866,-1.549775065,
(17)A11(-1)A11(-1)A11(-1)A11(40),3,1.748676057,1.084557413,-1.526065402,
(17)A11(-1)A11(-1)A11(-1)A11(40),4,1.766041883,1.102639394,-1.508228411,
(17)A11(-1)A11(-1)A11(-1)A11(40),5,1.780005615,1.116569025,-1.493570563,
(17)A11(-1)A11(-1)A11(-1)A11(40),6,1.791942,1.128527307,-1.480450248,
(17)A11(-1)A11(-1)A11(-1)A11(40),7,1.802522318,1.13843421,-1.46897814,
(17)A11(-1)A11(-1)A11(-1)A11(40),8,1.811591844,1.147376033,-1.458408481,
(17)A11(-1)A11(-1)A11(-1)A11(40),9,1.820002142,1.155611277,-1.448430481,
(17)A11(-1)A11(-1)A11(-1)A11(40),10,1.827208623,1.162707949,-1.439393712,
(17)A11(-1)A11(-1)A11(-1)A11(40),11,1.833983862,1.169645308,-1.431279806,
(17)A11(-1)A11(-1)A11(-1)A11(40),12,1.840438403,1.175752455,-1.423702159,
(17)A11(-1)A11(-1)A11(-1)A11(40),13,1.846557172,1.181639123,-1.416453241,
(17)A11(-1)A11(-1)A11(-1)A11(40),14,1.85220217,1.187284842,-1.409398779,
(17)A11(-1)A11(-1)A11(-1)A11(40),15,1.8575702,1.192367124,-1.402706459,
(17)A11(-1)A11(-1)A11(-1)A11(40),16,1.862697123,1.197304292,-1.396096902,
(17)A11(-1)A11(-1)A11(-1)A11(40),17,1.867884494,1.201839549,-1.389852463,
(17)A11(-1)A11(-1)A11(-1)A11(40),18,1.872410007,1.206385304,-1.3839625,
(17)A11(-1)A11(-1)A11(-1)A11(40),19,1.87686899,1.210597256,-1.378332171,
(17)A11(-1)A11(-1)A11(-1)A11(40),20,1.881455488,1.214552941,-1.372830682,
(17)A11(-1)A11(-1)A11(-1)A11(40),21,1.885607196,1.218693064,-1.367371622,
(17)A11(-1)A11(-1)A11(-1)A11(40),22,1.889856385,1.222364006,-1.361794133,
(17)A11(-1)A11(-1)A11(-1)A11(40),23,1.893940675,1.226132462,-1.356573673,
(17)A11(-1)A11(-1)A11(-1)A11(40),24,1.898005649,1.229599666,-1.351546812,
(17)A11(-1)A11(-1)A11(-1)A11(40),25,1.901762833,1.233173522,-1.346278201,
(17)A11(-1)A11(-1)A11(-1)A11(40),26,1.905488994,1.236616284,-1.341514778,
(17)A11(-1)A11(-1)A11(-1)A11(40),27,1.909345598,1.239986411,-1.33656596,
(17)A11(-1)A11(-1)A11(-1)A11(40),28,1.91283843,1.243171609,-1.331631143,
(17)A11(-1)A11(-1)A11(-1)A11(40),29,1.916361924,1.246463487,-1.326694989,
(17)A11(-1)A11(-1)A11(-1)A11(40),30,1.919917068,1.249644877,-1.321980584,
(17)A11(-1)A11(-1)A11(-1)A11(40),31,1.923422817,1.252702066,-1.317159591,
(17)A11(-1)A11(-1)A11(-1)A11(40),32,1.926911477,1.255667405,-1.312459073,
(17)A11(-1)A11(-1)A11(-1)A11(40),33,1.930146167,1.258772157,-1.308061151,
(17)A11(-1)A11(-1)A11(-1)A11(40),34,1.933337147,1.261672546,-1.303528919,
(17)A11(-1)A11(-1)A11(-1)A11(40),35,1.936363534,1.264678163,-1.299371316,
(17)A11(-1)A11(-1)A11(-1)A11(40),36,1.939490222,1.267460031,-1.295042561,
(17)A11(-1)A11(-1)A11(-1)A11(40),37,1.942681422,1.270281024,-1.290731947,
(17)A11(-1)A11(-1)A11(-1)A11(40),38,1.945745878,1.27321299,-1.28619741,
(17)A11(-1)A11(-1)A11(-1)A11(40),39,1.948735491,1.275946189,-1.281899346,
(17)A11(-1)A11(-1)A11(-1)A11(40),40,1.951813129,1.278584747,-1.277513816,
(17)A11(-1)A11(-1)A11(-1)A11(40),41,1.95482031,1.28137266,-1.273154201,
(17)A11(-1)A11(-1)A11(-1)A11(40),42,1.957943473,1.284086999,-1.26901163,
(17)A11(-1)A11(-1)A11(-1)A11(40),43,1.960877592,1.286698044,-1.264651948,
(17)A11(-1)A11(-1)A11(-1)A11(40),44,1.963891134,1.289276383,-1.260481476,
(17)A11(-1)A11(-1)A11(-1)A11(40),45,1.966946424,1.292044189,-1.256229909,
(17)A11(-1)A11(-1)A11(-1)A11(40),46,1.970240746,1.294728736,-1.252286713,
(17)A11(-1)A11(-1)A11(-1)A11(40),47,1.973270704,1.297333879,-1.248113976,
(17)A11(-1)A11(-1)A11(-1)A11(40),48,1.97646141,1.300050869,-1.243857835,
(17)A11(-1)A11(-1)A11(-1)A11(40),49,1.979541202,1.302733212,-1.239747724,
(17)A11(-1)A11(-1)A11(-1)A11(40),50,1.982596619,1.305353744,-1.235700348,
(17)A11(-1)A11(-1)A11(-1)A11(40),51,1.985641833,1.308072877,-1.231534429,
(17)A11(-1)A11(-1)A11(-1)A11(40),52,1.988668448,1.310674219,-1.227281279,
(17)A11(-1)A11(-1)A11(-1)A11(40),53,1.991684017,1.313251651,-1.222985149,
(17)A11(-1)A11(-1)A11(-1)A11(40),54,1.9946645,1.315887168,-1.218627378,
(17)A11(-1)A11(-1)A11(-1)A11(40),55,1.997648061,1.318469074,-1.214430822,
(17)A11(-1)A11(-1)A11(-1)A11(40),56,2.00063198,1.321061387,-1.210190579,
(17)A11(-1)A11(-1)A11(-1)A11(40),57,2.003648588,1.32369639,-1.206021191,
(17)A11(-1)A11(-1)A11(-1)A11(40),58,2.006790883,1.326308548,-1.201773879,
(17)A11(-1)A11(-1)A11(-1)A11(40),59,2.009796847,1.329004628,-1.197285584,
(17)A11(-1)A11(-1)A11(-1)A11(40),60,2.013054855,1.331682243,-1.192832263,
(17)A11(-1)A11(-1)A11(-1)A11(40),61,2.016355518,1.334397078,-1.188251389,
(17)A11(-1)A11(-1)A11(-1)A11(40),62,2.019516464,1.337193362,-1.183532575,
(17)A11(-1)A11(-1)A11(-1)A11(40),63,2.022567751,1.339852535,-1.179077668,
(17)A11(-1)A11(-1)A11(-1)A11(40),64,2.025714657,1.342660871,-1.174483264,
(17)A11(-1)A11(-1)A11(-1)A11(40),65,2.028901318,1.345386106,-1.16974993,
(17)A11(-1)A11(-1)A11(-1)A11(40),66,2.03203504,1.34825823,-1.165007257,
(17)A11(-1)A11(-1)A11(-1)A11(40),67,2.035443278,1.351159759,-1.160130628,
(17)A11(-1)A11(-1)A11(-1)A11(40),68,2.038989097,1.353995092,-1.155175855,
(17)A11(-1)A11(-1)A11(-1)A11(40),69,2.042327922,1.357086952,-1.150082408,
(17)A11(-1)A11(-1)A11(-1)A11(40),70,2.045794746,1.359945812,-1.145039198,
(17)A11(-1)A11(-1)A11(-1)A11(40),71,2.049425564,1.362964248,-1.139863079,
(17)A11(-1)A11(-1)A11(-1)A11(40),72,2.053320174,1.365902975,-1.134485852,
(17)A11(-1)A11(-1)A11(-1)A11(40),73,2.057034051,1.368833178,-1.129387202,
(17)A11(-1)A11(-1)A11(-1)A11(40),74,2.060767249,1.371901939,-1.123975369,
(17)A11(-1)A11(-1)A11(-1)A11(40),75,2.064717486,1.375033952,-1.118280131,
(17)A11(-1)A11(-1)A11(-1)A11(40),76,2.068764086,1.378265272,-1.112787959,
(17)A11(-1)A11(-1)A11(-1)A11(40),77,2.072907347,1.381377652,-1.106718287,
(17)A11(-1)A11(-1)A11(-1)A11(40),78,2.077019402,1.384741749,-1.100571787,
(17)A11(-1)A11(-1)A11(-1)A11(40),79,2.081160143,1.388371695,-1.094224992,
(17)A11(-1)A11(-1)A11(-1)A11(40),80,2.085591179,1.392029483,-1.087788364,
(17)A11(-1)A11(-1)A11(-1)A11(40),81,2.09019944,1.395595194,-1.080708752,
(17)A11(-1)A11(-1)A11(-1)A11(40),82,2.095220781,1.399354901,-1.07358856,
(17)A11(-1)A11(-1)A11(-1)A11(40),83,2.100421291,1.403323049,-1.065761531,
(17)A11(-1)A11(-1)A11(-1)A11(40),84,2.106083232,1.407478814,-1.058099102,
(17)A11(-1)A11(-1)A11(-1)A11(40),85,2.111365752,1.411674942,-1.05044522,
(17)A11(-1)A11(-1)A11(-1)A11(40),86,2.116939634,1.416115102,-1.04228244,
(17)A11(-1)A11(-1)A11(-1)A11(40),87,2.122794895,1.421117761,-1.033357133,
(17)A11(-1)A11(-1)A11(-1)A11(40),88,2.129164624,1.426084516,-1.024564182,
(17)A11(-1)A11(-1)A11(-1)A11(40),89,2.135707889,1.431518646,-1.01446449,
(17)A11(-1)A11(-1)A11(-1)A11(40),90,2.142938137,1.436999531,-1.004095281,
(17)A11(-1)A11(-1)A11(-1)A11(40),91,2.150268164,1.443335403,-0.993201657,
(17)A11(-1)A11(-1)A11(-1)A11(40),92,2.158956093,1.450219643,-0.980955166,
(17)A11(-1)A11(-1)A11(-1)A11(40),93,2.168516143,1.457827197,-0.967195881,
(17)A11(-1)A11(-1)A11(-1)A11(40),94,2.179009783,1.466222359,-0.95089426,
(17)A11(-1)A11(-1)A11(-1)A11(40),95,2.191953578,1.475990527,-0.932391354,
(17)A11(-1)A11(-1)A11(-1)A11(40),96,2.207596934,1.487654395,-0.910619155,
(17)A11(-1)A11(-1)A11(-1)A11(40),97,2.22594292,1.501410467,-0.883020768,
(17)A11(-1)A11(-1)A11(-1)A11(40),98,2.253588005,1.520806444,-0.847097274,
(17)A11(-1)A11(-1)A11(-1)A11(40),99,2.299298826,1.551357658,-0.787832116,
(17)A11(-1)A11(-1)A11(-1)A11(40),100,2.859833475,1.904386264,-0.248296602,
(17)A11(-1)A11(-1)A11(48),0,1.09907849,0.012327016,-1.852841013,
(17)A11(-1)A11(-1)A11(48),1,1.352175962,0.678585589,-1.593813727,
(17)A11(-1)A11(-1)A11(48),2,1.384585046,0.754264289,-1.560143001,
(17)A11(-1)A11(-1)A11(48),3,1.404667792,0.796667203,-1.537310154,
(17)A11(-1)A11(-1)A11(48),4,1.420049894,0.827211281,-1.519739616,
(17)A11(-1)A11(-1)A11(48),5,1.431677724,0.850442209,-1.504992022,
(17)A11(-1)A11(-1)A11(48),6,1.442191806,0.869031069,-1.492630993,
(17)A11(-1)A11(-1)A11(48),7,1.451359869,0.884481555,-1.482195313,
(17)A11(-1)A11(-1)A11(48),8,1.459186571,0.898256212,-1.472257289,
(17)A11(-1)A11(-1)A11(48),9,1.466001405,0.911106464,-1.463056439,
(17)A11(-1)A11(-1)A11(48),10,1.472379552,0.921950418,-1.454806834,
(17)A11(-1)A11(-1)A11(48),11,1.478444162,0.931460402,-1.447216613,
(17)A11(-1)A11(-1)A11(48),12,1.484240247,0.940074025,-1.439945056,
(17)A11(-1)A11(-1)A11(48),13,1.489223759,0.94847711,-1.43310028,
(17)A11(-1)A11(-1)A11(48),14,1.493905847,0.956809795,-1.42656717,
(17)A11(-1)A11(-1)A11(48),15,1.498446002,0.964341094,-1.42023512,
