tgt,a,lk,__lnsigma,Rsq,k
(17)A11(-1)A11(-1)A11(-1)A11(40),1.982595796,1.305353754,-1.235700852,,20.20011091117305
(17)A11(-1)A11(-1)A11(48),1.605850631,1.116621853,-1.261987004,,13.08042493948029
(17)A11(-1)A11(56),1.136775722,1.379487773,-2.065039411,,23.96005292362777
(17)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(16),3.321940204,1.329784944,-0.619396131,,21.36903665380692
(17)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(22),3.585832887,1.490107475,-0.154147373,,30.91060283588012
(17)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(34),3.56287746,1.807522163,-0.12601799,,64.19809823697611
(17)A11(-3)A11(-3)A11(-3)A11(46),1.462453749,1.46162601,-1.163679847,,28.948496322186774
(17)A11(-3)A11(-3)A11(52),1.292914561,1.393007426,-1.432014766,,24.717664093809635
(17)A11(-3)A11(58),0.826772935,1.522605902,-2.132067818,,33.31239841448196
(17)A11(-3)A5(-3)A11(52),1.310630824,1.421031895,-1.585636506,,26.3652500762073
(17)A11(-3)A5(58),0.623131402,1.120242555,-2.343312457,,13.189931952323692
(17)A11(-3)A95(-3)A11(52),1.35288393,1.379382064,-1.093560934,,23.954221661387347
(17)A11(-3)M5(-3)A11(52),1.440537957,1.304453776,-1.458525743,,20.158294050614018
(17)A11(-3)M5(58),0.578300362,1.074360617,-2.447372766,,11.867537617195309
(17)A11(-3)W4(-3)A11(52),1.34244355,1.273861284,-1.622472839,,18.78716648728961
(17)A11(-3)W4(58),0.612843843,1.013305058,-2.444045922,,10.311101405785763
(17)A4(-3)A6(-3)A4(52),0.797923186,1.80020993,-2.596058957,,63.12624114327345
(17)A4(-3)A6(58),0.710291249,1.685110677,-2.821832154,,48.42957713482489
(17)A5(-1)A11(-1)A5(48),0.758922696,1.493151004,-2.773432807,,31.127984676226028
(17)A5(-3)A11(-3)A5(52),0.722279067,1.478525855,-2.478144577,,30.097183421178382
(17)A5(-3)M5(-3)A5(52),1.42207803,2.559803142,-3.410804381,,362.9135152099739
(17)A6(-3)A4(-3)A6(52),1.181910425,1.651896785,-2.23226974,,44.863875318346636
(17)A6(-3)A4(58),0.581035365,1.743923605,-3.103174451,,55.452815955416874
(17)A6(-3)M5(58),0.540580008,1.624130197,-3.278401198,,42.085277679014645
(17)A7(-3)A11(-3)A9(52),1.195279616,1.636929311,-2.023702236,,43.34403226749073
(17)A7(-3)M4(-3)A10(52),1.242766325,1.503872502,-2.030631934,,31.906010369134304
(17)A7(-3)M5(-3)A9(52),1.386104377,1.799983141,-1.9681267,,63.09328516444559
(17)A95(-1)A11(-1)A95(48),1.206954293,1.74412101,-2.080529052,,55.47802730813939
(17)A95(-3)A11(-3)A95(52),1.305811537,1.614962898,-1.907665643,,41.206231489900794
(17)M1(-1)M2(56),0.939620267,2.581812402,-2.848054882,,381.7793216842864
(17)M1(-3)M2(-3)M3(-3)M4(46),1.061792535,2.006302237,-2.577616258,,101.46172390306616
(17)M1(-3)M2(-3)M3(52),0.942943367,1.925517377,-2.505324558,,84.23980968145628
(17)M1(-3)M2(58),0.576547459,2.015992547,-3.232140295,,103.75106107726933
(17)M5(-1)A11(-1)M5(48),0.905778062,1.650746712,-3.025681545,,44.745226621708035
(17)M5(-1)M5(-1)M5(-1)M5(40),1.298138788,2.415533843,-2.928425321,,260.33576937298426
