TgtName,TF,NumSites,Sites,HasOverlaps,ToRun,PosScanDistance,Libraries
(17)A11(-1)A11(-1)A11(-1)A11(40),Zif268,4,"A11, A11, A11, A11",1,1,NaN,NaN
(17)A11(-1)A11(-1)A11(48),Zif268,3,"A11, A11, A11",1,1,NaN,NaN
(17)A11(-1)A11(56),Zif268,2,"A11, A11",1,1,NaN,NaN
(17)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(16),Zif268,9,"A11, A11, A11, A11, A11, A11, A11, A11, A11",1,1,NaN,NaN
(17)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(22),Zif268,8,"A11, A11, A11, A11, A11, A11, A11, A11",1,1,NaN,NaN
(17)A11(-3)A11(-3)A11(-3)A11(-3)A11(-3)A11(34),Zif268,6,"A11, A11, A11, A11, A11, A11",1,1,NaN,NaN
(17)A11(-3)A11(-3)A11(-3)A11(46),Zif268,4,"A11, A11, A11, A11",1,1,NaN,NaN
(17)A11(-3)A11(-3)A11(52),Zif268,3,"A11, A11, A11",1,1,NaN,NaN
(17)A11(-3)A11(58),Zif268,2,"A11, A11",1,1,NaN,NaN
(17)A11(-3)A5(-3)A11(52),Zif268,3,"A11, A5, A11",1,1,NaN,NaN
(17)A11(-3)A5(58),Zif268,2,"A11, A5",1,1,NaN,NaN
(17)A11(-3)A95(-3)A11(52),Zif268,3,"A11, A95, A11",1,1,NaN,NaN
(17)A11(-3)M5(-3)A11(52),Zif268,3,"A11, M5, A11",1,1,NaN,NaN
(17)A11(-3)M5(58),Zif268,2,"A11, M5",1,1,NaN,NaN
(17)A11(-3)W4(-3)A11(52),Zif268,3,"A11, W4, A11",1,1,NaN,NaN
(17)A11(-3)W4(58),Zif268,2,"A11, W4",1,1,NaN,NaN
(17)A4(-3)A6(-3)A4(52),Zif268,3,"A4, A6, A4",1,1,NaN,NaN
(17)A4(-3)A6(58),Zif268,2,"A4, A6",1,1,NaN,NaN
(17)A5(-1)A11(-1)A5(48),Zif268,3,"A5, A11, A5",1,1,NaN,NaN
(17)A5(-3)A11(-3)A5(52),Zif268,3,"A5, A11, A5",1,1,NaN,NaN
(17)A5(-3)M5(-3)A5(52),Zif268,3,"A5, M5, A5",1,1,NaN,NaN
(17)A6(-3)A4(-3)A6(52),Zif268,3,"A6, A4, A6",1,1,NaN,NaN
(17)A6(-3)A4(58),Zif268,2,"A6, A4",1,1,NaN,NaN
(17)A6(-3)M5(58),Zif268,2,"A6, M5",1,1,NaN,NaN
(17)A7(-3)A11(-3)A9(52),Zif268,3,"A7, A11, A9",1,1,NaN,NaN
(17)A7(-3)M4(-3)A10(52),Zif268,3,"A7, M4, A10",1,1,NaN,NaN
(17)A7(-3)M5(-3)A9(52),Zif268,3,"A7, M5, A9",1,1,NaN,NaN
(17)A95(-1)A11(-1)A95(48),Zif268,3,"A95, A11, A95",1,1,NaN,NaN
(17)A95(-3)A11(-3)A95(52),Zif268,3,"A95, A11, A95",1,1,NaN,NaN
(17)M1(-1)M2(56),Zif268,2,"M1, M2",1,1,NaN,NaN
(17)M1(-3)M2(-3)M3(-3)M4(46),Zif268,4,"M1, M2, M3, M4",1,1,NaN,NaN
(17)M1(-3)M2(-3)M3(52),Zif268,3,"M1, M2, M3",1,1,NaN,NaN
(17)M1(-3)M2(58),Zif268,2,"M1, M2",1,1,NaN,NaN
(17)M5(-1)A11(-1)M5(48),Zif268,3,"M5, A11, M5",1,1,NaN,NaN
(17)M5(-1)M5(-1)M5(-1)M5(40),Zif268,4,"M5, M5, M5, M5",1,1,NaN,NaN
(17)M5(-1)M5(-1)M5(48),Zif268,3,"M5, M5, M5",1,1,NaN,NaN
(17)M5(-1)M5(56),Zif268,2,"M5, M5",1,1,NaN,NaN
(17)M5(-3)A11(-3)M5(52),Zif268,3,"M5, A11, M5",1,1,NaN,NaN
(17)M5(-3)A5(-3)M5(52),Zif268,3,"M5, A5, M5",1,1,NaN,NaN
(17)M5(-3)A95(-3)M5(52),Zif268,3,"M5, A95, M5",1,1,NaN,NaN
(17)M5(-3)M5(-3)M5(-3)M5(46),Zif268,4,"M5, M5, M5, M5",1,1,NaN,NaN
(17)M5(-3)M5(-3)M5(52),Zif268,3,"M5, M5, M5",1,1,NaN,NaN
(17)M5(-3)M5(58),Zif268,2,"M5, M5",1,1,NaN,NaN
(17)M5(-3)W4(-3)M5(52),Zif268,3,"M5, W4, M5",1,1,NaN,NaN
(17)W4(-1)A11(-1)W4(48),Zif268,3,"W4, A11, W4",1,1,NaN,NaN
(17)W4(-3)A11(-3)W4(52),Zif268,3,"W4, A11, W4",1,1,NaN,NaN
(17)W4(-3)M5(-3)W4(52),Zif268,3,"W4, M5, W4",1,1,NaN,NaN
(17)W4(-3)W4(-3)W4(52),Zif268,3,"W4, W4, W4",1,1,NaN,NaN
(17)W4(-3)W4(58),Zif268,2,"W4, W4",1,1,NaN,NaN
(23)A4(-3)A6(52),Zif268,2,"A4, A6",1,1,NaN,NaN
(23)A5(-3)A11(52),Zif268,2,"A5, A11",1,1,NaN,NaN
(23)A5(58),Zif268,1,A5,0,1,NaN,NaN
(23)M5(-3)A11(52),Zif268,2,"M5, A11",1,1,NaN,NaN
(23)W4(-3)A11(52),Zif268,2,"W4, A11",1,1,NaN,NaN
(23)W4(58),Zif268,1,W4,0,1,NaN,NaN
(29)A11(52),Zif268,1,A11,0,1,NaN,NaN
(49)M3(32),Zif268,1,M3,0,1,32,NaN
(51)M3(30),Zif268,1,M3,0,1,30,NaN
(53)M3(28),Zif268,1,M3,0,1,28,NaN
(55)M3(26),Zif268,1,M3,0,1,26,NaN
(59)M3(22),Zif268,1,M3,0,1,22,NaN
(61)M3(20),Zif268,1,M3,0,1,20,NaN
(63)M3(18),Zif268,1,M3,0,1,18,NaN
(65)M3(16),Zif268,1,M3,0,1,16,NaN
A105XXXXX,Zif268,1,A105,0,1,NaN,NaN
A11XXXXX,Zif268,1,A11,0,1,NaN,NaN
A5XXXXX,Zif268,1,A5,0,1,NaN,NaN
A4XXXXX,Zif268,1,A4,0,1,NaN,NaN
A6XXXXX,Zif268,1,A6,0,1,NaN,NaN
A7XXXXX,Zif268,1,A7,0,1,NaN,NaN
A8XXXXX,Zif268,1,A8,0,1,NaN,NaN
A95XXXXX,Zif268,1,A95,0,1,NaN,NaN
A9XXXXX,Zif268,1,A9,0,1,NaN,NaN
M1(0)M2XXXX,Zif268,2,"M1, M2",0,1,0,NaN
M1(10)M2XXX,Zif268,2,"M1, M2",0,1,10,NaN
M1(12)M2XXX,Zif268,2,"M1, M2",0,1,12,NaN
M1(13)M2XXX,Zif268,2,"M1, M2",0,1,13,NaN
M1(14)M2XXX,Zif268,2,"M1, M2",0,1,14,NaN
M1(2)M2XXX,Zif268,2,"M1, M2",0,1,2,NaN
M1(3)M2XXX,Zif268,2,"M1, M2",0,1,3,NaN
M1(4)M2XXX,Zif268,2,"M1, M2",0,1,4,NaN
M1(5)M2XXX,Zif268,2,"M1, M2",0,1,5,NaN
M1(6)M2XXX,Zif268,2,"M1, M2",0,1,6,NaN
M1(7)M2XXX,Zif268,2,"M1, M2",0,1,7,NaN
M1(8)M2XXX,Zif268,2,"M1, M2",0,1,8,NaN
M1(9)M2XXX,Zif268,2,"M1, M2",0,1,9,NaN
M1M2M3M4M5M6,Zif268,6,"M1, M2, M3, M4, M5, M6",0,1,NaN,NaN
M1M2M3M4M5X,Zif268,5,"M1, M2, M3, M4, M5",0,1,NaN,NaN
M1M2M3M4XX,Zif268,4,"M1, M2, M3, M4",0,1,NaN,NaN
M1M2M3M6M4M5,Zif268,6,"M1, M2, M3, M6, M4, M5",0,1,NaN,NaN
M1M2M3M6M5M4,Zif268,6,"M1, M2, M3, M6, M5, M4",0,1,NaN,NaN
M1M2M3XXX,Zif268,3,"M1, M2, M3",0,1,NaN,NaN
M1M2XXXX,Zif268,2,"M1, M2",0,1,1,NaN
M1XM2XXX,Zif268,2,"M1, M2",0,1,11,NaN
M1XXM2XX,Zif268,2,"M1, M2",0,1,21,NaN
M1XXXM2X,Zif268,2,"M1, M2",0,1,31,NaN
M1XXXXM2,Zif268,2,"M1, M2",0,1,41,NaN
M1XXXXX,Zif268,1,M1,0,1,NaN,NaN
M2XXXXX,Zif268,1,M2,0,1,NaN,NaN
M3M4M1M5M2X,Zif268,5,"M3, M4, M1, M5, M2",0,1,NaN,NaN
M3XXXXX,Zif268,1,M3,0,1,64,NaN
M4XXXXX,Zif268,1,M4,0,1,NaN,NaN
M5XXXXX,Zif268,1,M5,0,1,NaN,NaN
M6XXXXX,Zif268,1,M6,0,1,NaN,NaN
NEWA8XXXXX,Zif268,1,A8,0,1,NaN,NaN
NEWXXXXXA8,Zif268,1,A8,0,1,NaN,NaN
NO_T,Zif268,0,NaN,0,1,NaN,NaN
RC(M1M2M3M4M5M6),Zif268,6,"M1, M2, M3, M4, M5, M6",0,1,NaN,NaN
RC(M1M2M3M4M5X),Zif268,5,"M1, M2, M3, M4, M5",0,1,NaN,NaN
