mScarlet-i:570,593

Kinetic read	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:07:15	16	11	1	44	0	35	0	17	9	4	5	10	14	0	8	0	20	1	19	0	12	2	0	1	0	0	16	37	9	39	20	0	31	14	0	13	13	14	19	0	0	0	14	6	6	0	0	0	18	8	36	60	0	41	0	0	1	0	18	7	0	2	27	16	7	6	8	0	12	33	3	32	32	5	0	11	19	3	20	0	13	0	18	34	0	3	38	0	0	18	0	4	15	25	13	17
0:17:15	2	13	10	0	7	0	0	11	11	0	0	0	0	14	27	24	33	5	16	0	5	0	0	0	0	18	21	1	2	13	16	1	28	29	16	13	17	15	25	16	0	0	0	25	0	0	30	18	0	18	12	0	0	0	38	0	9	16	34	0	15	0	11	12	27	0	25	7	0	16	6	0	30	21	13	7	9	18	0	0	0	0	0	17	20	0	27	0	0	2	0	9	0	10	7	0
0:27:15	10	0	0	4	15	0	0	18	20	30	29	0	0	6	0	0	40	10	4	13	11	44	0	10	9	4	0	5	25	0	15	27	17	28	13	18	16	0	23	0	21	29	7	12	9	3	3	5	0	24	21	0	0	14	34	28	0	4	10	13	0	0	0	0	13	3	36	22	16	21	7	1	15	5	0	30	4	0	17	16	28	23	0	16	17	6	0	0	0	6	10	5	8	0	6	0
0:37:15	0	14	17	0	11	21	0	5	0	30	19	6	5	0	10	0	18	39	1	32	9	0	0	8	0	0	17	0	11	3	12	15	12	0	29	0	19	0	2	6	0	11	0	8	13	1	0	26	0	0	2	28	6	0	12	9	27	0	13	36	15	0	0	18	11	16	12	0	0	0	0	9	0	21	14	1	9	22	0	0	0	6	1	1	22	19	37	0	1	20	16	24	0	28	17	1
0:47:15	20	15	16	6	1	0	26	19	9	24	18	0	32	9	0	0	15	0	18	19	0	0	0	17	8	12	5	23	0	7	11	4	28	27	19	0	10	9	17	0	4	20	0	25	4	19	6	18	0	0	0	1	1	0	15	22	17	11	0	0	0	0	0	11	0	18	18	0	0	10	39	0	5	0	35	8	0	9	45	8	13	40	0	36	0	3	0	5	0	33	0	0	16	28	10	0
0:57:15	0	7	0	5	18	16	0	0	2	9	13	1	3	12	8	17	5	17	23	1	8	10	0	24	15	0	6	11	3	14	6	6	3	24	13	8	0	0	13	4	4	8	7	5	43	0	14	11	0	0	18	0	17	22	18	0	7	6	0	9	0	0	16	11	11	0	0	15	23	0	0	25	9	1	12	23	0	0	16	3	0	1	5	7	1	0	0	0	31	4	0	3	9	30	13	0
1:07:15	0	6	0	1	0	2	0	0	0	0	9	21	26	0	0	6	18	17	0	9	0	18	0	23	0	0	0	19	26	13	21	0	0	8	0	0	40	0	8	0	26	7	11	0	21	0	2	24	22	6	22	0	19	0	11	0	10	0	0	29	16	0	37	4	7	9	0	0	0	15	46	0	1	33	10	16	28	17	0	0	0	12	23	0	11	28	10	0	5	22	17	2	0	7	1	8
1:17:15	0	6	0	10	29	0	10	7	9	8	22	24	0	21	0	6	0	0	21	12	23	5	0	0	20	0	34	0	0	0	7	37	0	16	12	8	0	0	12	2	0	0	10	16	0	15	0	0	0	1	0	10	14	15	13	0	39	27	6	14	22	8	2	38	13	22	0	0	9	15	0	5	29	10	0	18	14	0	0	36	22	0	11	0	19	19	2	0	24	13	4	12	0	22	17	32
1:27:15	16	11	14	10	16	11	6	0	9	6	32	0	9	35	0	27	19	9	0	19	12	10	20	21	15	1	3	4	2	34	15	0	0	12	19	22	24	0	0	9	4	7	0	18	37	3	35	11	8	28	0	15	27	11	25	0	0	0	0	7	30	0	0	9	0	13	0	16	5	3	20	2	23	0	10	0	5	54	12	10	3	0	0	18	45	0	8	25	16	9	17	12	23	6	28	0
1:37:15	22	0	28	18	0	31	24	16	17	20	7	0	8	28	0	16	0	40	29	17	14	8	2	0	18	0	0	0	18	20	9	13	0	0	0	17	18	8	11	22	18	21	0	0	19	18	29	0	28	26	31	20	36	0	9	22	0	19	7	12	42	0	31	0	0	26	12	0	0	20	14	0	35	16	4	22	26	47	32	17	0	0	7	0	2	26	12	11	9	20	1	7	33	18	18	12
