EGFP:488,507[2]

Kinetic read	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:09:18	3195	3237	3216	3190	3236	3192	3284	3387	3380	3316	3190	3256	3472	3554	3647	3334	3214	3417	3120	3141	3256	3237	3449	3542	3248	3252	3257	3215	3311	3333	3317	3481	3376	3283	3198	3497	4556	4431	4303	3059	3069	3228	3311	3365	3199	3516	3189	3247	3286	3177	3190	3266	3504	3402	3203	3139	3240	3107	3196	3227	3967	3815	4070	3193	3158	3024	3192	3295	3192	3273	3314	3420	3422	3145	3107	3300	3153	3210	3261	3230	3327	3056	3188	3357	4997	4986	7596	3139	3024	3193	3194	3137	3188	3131	3039	3322
0:19:18	3277	3199	3371	3255	3351	3209	3332	3271	3410	3297	3465	3203	3458	3295	3922	3209	3224	3358	3378	3348	3233	3455	3433	3400	3092	3387	3304	3278	3174	3185	3563	3344	3511	3273	3292	3339	4652	5423	4961	3166	3165	3273	3312	3122	3171	3283	3191	3248	3280	3288	3427	3456	3511	3496	3145	3103	3096	3149	3214	3409	3780	4498	4573	3104	3153	3111	3208	3232	3224	3271	3184	3376	3118	3307	2987	3319	3176	3318	3667	3419	3714	3235	3306	3263	5056	5054	8853	3075	2920	3095	3192	3270	3100	2997	3196	3130
0:29:18	3284	3280	3463	3429	3437	3296	3483	3397	3483	3388	3336	3312	3470	4190	4387	3234	3385	3283	3207	3336	3249	3415	3248	3421	3429	3344	3277	3269	3288	3290	3735	3236	3805	3384	3323	3344	4748	6915	6445	3173	3062	3166	3388	3157	3242	3268	3171	3196	3370	3332	3462	3491	3750	3659	3345	3286	3200	3140	3249	3442	3799	4703	4856	3161	3141	3086	3343	3278	3293	3235	3247	3359	3330	3182	3203	3146	3224	3211	3476	3431	3350	3308	3186	3312	5056	5368	7936	2985	3042	3101	3074	3175	3088	3176	3080	3111
0:39:18	3349	3184	3300	3334	3536	3210	3367	3126	3381	3318	3294	3227	3690	4389	4510	3318	3281	3474	3292	3310	3249	3293	3315	3332	3194	3154	3214	3279	3199	3358	3700	3367	3774	3271	3291	3362	4885	7331	7040	3016	3158	3011	3327	3063	3160	3179	3208	3147	3309	3491	3418	3710	3697	3926	3323	3242	3334	3139	3163	3288	3861	4717	4720	3224	3423	3141	3217	3273	3079	3205	3109	3368	3309	3289	3015	3223	3228	3221	3404	3414	3360	3137	3159	3249	5271	5708	4925	3116	3104	3306	3066	3053	3050	3076	3208	3036
0:49:18	3301	3244	3528	3373	3390	3284	3430	3234	3387	3213	3303	3253	3609	4642	4613	3301	3329	3217	3142	3224	3200	3348	3429	3453	3287	3372	3284	3291	3225	3204	3747	3282	3643	3336	3352	3371	5011	8161	7682	3152	3103	3047	3258	3133	3012	3270	3007	3291	3337	3520	3762	3726	3722	3731	3258	3295	3261	3210	3353	3321	3706	4849	5102	3202	3098	3208	3156	3174	3196	3199	3174	3541	3271	3303	3136	3183	3145	3137	3270	3439	3226	3435	3481	3479	5442	5684	4843	3093	3017	3110	3125	3223	3030	2943	3059	3075
0:59:18	3288	3256	3251	3237	3485	3133	3205	3282	3438	3168	3361	3230	3719	4567	4516	3315	3245	3231	3221	3214	3276	3534	3448	3535	3156	3362	3238	3257	3298	3225	3950	3244	3511	3117	3354	3346	5134	9064	8225	3066	3180	3081	3191	3142	3051	3211	3146	3222	3460	3618	3735	3371	3441	3673	3408	3114	3167	3278	3314	3489	3690	4722	4474	3151	3127	3100	3124	3199	3121	3335	3250	3450	3318	3249	3180	3263	3155	3283	3473	3528	3371	3394	3288	3398	6040	6075	5084	3238	3083	3015	3224	3091	3009	3018	3063	3214
1:09:18	3150	3219	3546	3338	3453	3079	3287	3167	3383	3189	3362	3308	3680	4659	4429	3469	3400	3277	3315	3206	3089	3383	3396	3331	3229	3112	3165	3218	3162	3268	3823	3318	3506	3276	3348	3258	5500	9649	9363	3085	3122	3047	3220	3040	3046	3207	2913	3273	3430	3661	4071	3242	3370	3491	3211	3383	3266	3188	3432	3764	3628	4284	4562	3145	3077	3054	3145	3133	3214	3345	3317	3362	3396	3258	3148	3287	3203	3300	3457	3510	3501	3406	3387	3588	6221	6180	4951	3048	3097	2906	2918	2983	2990	3077	2980	3256
1:19:18	3178	3153	3315	3244	3389	3238	3356	3345	3385	3122	3463	3255	3952	4741	4218	3353	3262	3286	3294	3213	3372	3324	3370	3425	3310	3237	3263	3338	3348	3303	3601	3539	3528	3268	3325	3412	5766	9948	9669	2995	3042	3074	3283	3101	3126	3103	3034	3168	3756	4163	4140	3285	3619	3633	3321	3420	3232	3394	3543	3666	3802	4142	4300	3090	3182	3082	3203	3256	3092	3303	3347	3661	3249	3182	3267	3078	3256	3132	3513	3457	3470	3549	3549	4007	6239	6684	5432	2980	3033	3052	3083	3265	3063	3158	3169	3136
1:29:18	3175	3345	3247	3380	3533	3144	3219	3290	3409	3179	3399	3250	4013	5054	4180	3275	3278	3197	3300	3244	3226	3505	3380	3435	3226	3322	3354	3269	3273	3278	3572	3401	3573	3317	3226	3406	6041	10342	10019	3034	3062	3078	3238	3096	3053	3251	3107	3274	3895	4256	5491	3562	3644	3841	3453	3690	3556	3539	3798	4054	3762	5554	4310	2970	3036	3163	3128	3255	3182	3473	3519	3696	3248	3269	3174	3183	3120	3359	3565	3776	3568	3714	3675	4026	6623	7073	5325	3098	3046	3059	3074	2976	3016	3046	3063	3235
1:39:18	3187	3076	3361	3328	3537	3289	3305	3342	3500	3339	3353	3213	4191	4654	4055	3121	3250	3203	3200	3276	3316	3353	3447	3379	3276	3294	3260	3254	3230	3247	3602	3509	3733	3354	3243	3453	6298	10017	9665	3033	3001	3143	3240	3108	2995	3204	3002	3019	4078	5208	4655	3585	3999	3981	3488	3924	3594	3735	3885	4207	4070	5641	4273	3185	3186	3162	3125	3262	3209	3425	3563	3602	3381	3202	3291	3253	3182	3253	3748	3815	3781	3594	4077	4220	6804	7328	5712	3025	3090	3144	3084	3006	3138	3036	3040	3080
